Executive Metric,Chain Performance (FY2024)
Total Inpatient Admissions,"118,800"
Unique Patients Served,"52,006"
Chain Total Bed Capacity,"8,530 Beds across 25 Hospitals"
Total Gross Revenue,"₹ 2,819.90 Cr"
Total Discount Leakage,₹ 332.86 Cr (11.80%)
Total Net Realized Revenue,"₹ 2,487.03 Cr"
Total Cash Collected,"₹ 2,191.70 Cr"
Outstanding Accounts Receivable (AR),₹ 300.52 Cr
Clean Collection Efficiency Rate,87.67%
Captured Overbilling Excess,₹ 5.19 Cr
Avg Revenue Per Admission (ARPA),"₹ 209,346.31"
Avg Revenue Per Patient (ARPP),"₹ 478,220.62"
Avg Revenue Per Occupied Bed-Day (ARPOB),"₹ 35,345.72 / day"
Average Length of Stay (ALOS),5.92 days
Chain-Wide Bed Occupancy Rate,22.60%
Emergency Admission Share,33.30%
Critical Care (ICU) Admission Share,23.14%
In-Hospital Mortality Rate,8.19%
30-Day Unplanned Readmission Rate,7.88%
Survey Feedback Coverage,"33.28% (39,540 surveys)"
Overall Patient CSAT (1-6 Likert Scale),3.49 / 6.00
Chain Net Promoter Score (NPS Proxy),+43.5
Patient Formal Complaint Rate,10.45%
